id,FirstName,LastName,KnesstetSiteId,ImageUrl
528,יעקב,ליצמן,216,https://fs.knesset.gov.il/globaldocs/MK/216/1_216_3_555.jpeg
531,אברהם,רביץ,112,https://fs.knesset.gov.il/globaldocs/MK/112/1_112_3_309.jpeg
532,יולי יואל,אדלשטיין,1,https://fs.knesset.gov.il/globaldocs/MK/1/1_1_3_4.jpeg
533,מרינה,סולודקין,91,https://fs.knesset.gov.il/globaldocs/MK/91/1_91_3_254.jpeg
534,גנדי,ריגר,232,https://fs.knesset.gov.il/globaldocs/MK/232/1_232_3_598.jpeg
535,נתן,שרנסקי,127,https://fs.knesset.gov.il/globaldocs/MK/127/1_127_3_346.jpeg
536,דוד,לוי,72,https://fs.knesset.gov.il/globaldocs/MK/72/1_72_3_202.jpeg
537,מקסים,לוי,74,https://fs.knesset.gov.il/globaldocs/MK/74/1_74_3_206.jpeg
538,מרדכי,משעני,709,https://fs.knesset.gov.il/globaldocs/MK/709/1_709_3_1550.jpeg
539,דליה,רבין-פילוסוף,231,https://fs.knesset.gov.il/globaldocs/MK/231/1_231_3_596.jpeg
540,מוחמד,ברכה,197,https://fs.knesset.gov.il/globaldocs/MK/197/1_197_3_482.jpeg
541,תמר,גוז'נסקי,31,https://fs.knesset.gov.il/globaldocs/MK/31/1_31_3_83.jpeg
542,עסאם,מח'ול,218,https://fs.knesset.gov.il/globaldocs/MK/218/1_218_3_562.jpeg
543,יחיאל,לסרי,712,https://fs.knesset.gov.il/globaldocs/MK/712/1_712_3_1556.jpeg
544,דוד,מגן,82,https://fs.knesset.gov.il/globaldocs/MK/82/1_82_3_229.jpeg
545,רוני,מילוא,155,https://fs.knesset.gov.il/globaldocs/MK/155/1_155_3_400.jpeg
546,דן,מרידור,88,https://fs.knesset.gov.il/globaldocs/MK/88/1_88_3_242.jpeg
548,נחמה,רונן,711,https://fs.knesset.gov.il/globaldocs/MK/711/1_711_3_1554.jpeg
549,טלב,אלסאנע,13,https://fs.knesset.gov.il/globaldocs/MK/13/1_13_3_39.jpeg
550,עבד-אלמאלכ,דהאמשה,36,https://fs.knesset.gov.il/globaldocs/MK/36/1_36_3_98.jpeg
551,האשם,מחאמיד,83,https://fs.knesset.gov.il/globaldocs/MK/83/1_83_3_231.jpeg
552,רומן,ברונפמן,26,https://fs.knesset.gov.il/globaldocs/MK/26/1_26_3_72.jpeg
553,אלכסנדר,צינקר,229,https://fs.knesset.gov.il/globaldocs/MK/229/1_229_3_587.jpeg
554,תאופיק,חטיב,57,https://fs.knesset.gov.il/globaldocs/MK/57/1_57_3_153.jpeg
555,מוחמד,כנעאן,211,https://fs.knesset.gov.il/globaldocs/MK/211/1_211_3_531.jpeg
556,חיים,כץ,212,https://fs.knesset.gov.il/globaldocs/MK/212/1_212_3_535.jpeg
557,עמיר,פרץ,105,https://fs.knesset.gov.il/globaldocs/MK/105/1_105_3_292.jpeg
558,עזמי,בשארה,29,https://fs.knesset.gov.il/globaldocs/MK/29/1_29_3_79.jpeg
559,מיכאל,קליינר,109,https://fs.knesset.gov.il/globaldocs/MK/109/1_109_3_303.jpeg
560,אחמד,טיבי,208,https://fs.knesset.gov.il/globaldocs/MK/208/1_208_3_520.jpeg
563,מאיר,פרוש,103,https://fs.knesset.gov.il/globaldocs/MK/103/1_103_3_285.jpeg
564,רחמים,מלול,219,https://fs.knesset.gov.il/globaldocs/MK/219/1_219_3_564.jpeg
565,מיכאל,נודלמן,89,https://fs.knesset.gov.il/globaldocs/MK/89/1_89_3_244.jpeg
567,אליעזר,זנדברג,54,https://fs.knesset.gov.il/globaldocs/MK/54/1_54_3_147.jpeg
580,יצחק,כהן,65,https://fs.knesset.gov.il/globaldocs/MK/65/1_65_3_178.jpeg
584,שמואל,אביטל,130,https://fs.knesset.gov.il/globaldocs/MK/130/1_130_3_352.jpeg
713,אורי,אריאל,713,https://fs.knesset.gov.il/globaldocs/MK/713/1_713_3_1560.jpeg
755,אלי,כהן,714,https://fs.knesset.gov.il/globaldocs/MK/714/1_714_3_1565.jpeg
763,אפי,איתם,715,https://fs.knesset.gov.il/globaldocs/MK/715/1_715_3_1567.jpeg
765,יצחק,לוי,73,https://fs.knesset.gov.il/globaldocs/MK/73/1_73_3_204.jpeg
818,יהודה,גלעד,716,https://fs.knesset.gov.il/globaldocs/MK/716/1_716_3_1569.jpeg
860,אלי,גולדשמידט,33,https://fs.knesset.gov.il/globaldocs/MK/33/1_33_3_87.jpeg
861,עוזי,ברעם,27,https://fs.knesset.gov.il/globaldocs/MK/27/1_27_3_74.jpeg
862,משה,קצב,110,https://fs.knesset.gov.il/globaldocs/MK/110/1_110_3_305.jpeg
865,אורית,נוקד,717,https://fs.knesset.gov.il/globaldocs/MK/717/1_717_3_1572.jpeg
889,צלי,רשף,718,https://fs.knesset.gov.il/globaldocs/MK/718/1_718_3_1574.jpeg
926,עוזי,אבן,719,https://fs.knesset.gov.il/globaldocs/MK/719/1_719_3_1576.jpeg
949,שאול,מופז,720,https://fs.knesset.gov.il/globaldocs/MK/720/1_720_3_1579.jpeg
965,בנימין,נתניהו,90,https://fs.knesset.gov.il/globaldocs/MK/90/1_90_3_248.jpeg
986,פנחס,צברי,722,https://fs.knesset.gov.il/globaldocs/MK/722/1_722_3_1582.jpeg
1025,גילה,גמליאל,723,https://fs.knesset.gov.il/globaldocs/MK/723/1_723_3_1586.jpeg
1026,רוחמה,אברהם-בלילא,724,https://fs.knesset.gov.il/globaldocs/MK/724/1_724_3_1592.jpeg
1027,גדעון,סער,725,https://fs.knesset.gov.il/globaldocs/MK/725/1_725_3_1595.jpeg
1028,דניאל,בנלולו,726,https://fs.knesset.gov.il/globaldocs/MK/726/1_726_3_1598.jpeg
1029,מיכאל,רצון,169,https://fs.knesset.gov.il/globaldocs/MK/169/1_169_3_428.jpeg
1030,מגלי,והבה,727,https://fs.knesset.gov.il/globaldocs/MK/727/1_727_3_1601.jpeg
1031,יעקב,אדרי,728,https://fs.knesset.gov.il/globaldocs/MK/728/1_728_3_1604.jpeg
1032,אהוד,יתום,729,https://fs.knesset.gov.il/globaldocs/MK/729/1_729_3_1606.jpeg
1033,אלי,אפללו,730,https://fs.knesset.gov.il/globaldocs/MK/730/1_730_3_1609.jpeg
1034,משה,כחלון,731,https://fs.knesset.gov.il/globaldocs/MK/731/1_731_3_1612.jpeg
1035,עמרי,שרון,732,https://fs.knesset.gov.il/globaldocs/MK/732/1_732_3_1615.jpeg
1036,מיכאל,גורלובסקי,733,https://fs.knesset.gov.il/globaldocs/MK/733/1_733_3_1617.jpeg
1037,גלעד,ארדן,734,https://fs.knesset.gov.il/globaldocs/MK/734/1_734_3_1621.jpeg
1038,רוני,בר-און,735,https://fs.knesset.gov.il/globaldocs/MK/735/1_735_3_1627.jpeg
1039,ענבל,גבריאלי,736,https://fs.knesset.gov.il/globaldocs/MK/736/1_736_3_1629.jpeg
1040,יחיאל,חזן,737,https://fs.knesset.gov.il/globaldocs/MK/737/1_737_3_1631.jpeg
1041,לאה,נס,738,https://fs.knesset.gov.il/globaldocs/MK/738/1_738_3_1634.jpeg
1042,עמרם,מצנע,739,https://fs.knesset.gov.il/globaldocs/MK/739/1_739_3_1637.jpeg
1043,יולי,תמיר,697,https://fs.knesset.gov.il/globaldocs/MK/697/1_697_3_1521.jpeg
1044,יצחק,הרצוג,740,https://fs.knesset.gov.il/globaldocs/MK/740/1_740_3_1642.jpeg
1045,דני,יתום,741,https://fs.knesset.gov.il/globaldocs/MK/741/1_741_3_1647.jpeg
1046,אילן,שלגי,742,https://fs.knesset.gov.il/globaldocs/MK/742/1_742_3_1649.jpeg
1047,מל,פולישוק-בלוך,743,https://fs.knesset.gov.il/globaldocs/MK/743/1_743_3_1651.jpeg
1048,רשף,חן,744,https://fs.knesset.gov.il/globaldocs/MK/744/1_744_3_1653.jpeg
1049,רוני,בריזון,745,https://fs.knesset.gov.il/globaldocs/MK/745/1_745_3_1655.jpeg
1050,אהוד,רצאבי,746,https://fs.knesset.gov.il/globaldocs/MK/746/1_746_3_1657.jpeg
1051,אתי,לבני,747,https://fs.knesset.gov.il/globaldocs/MK/747/1_747_3_1659.jpeg
1052,אילן,ליבוביץ,748,https://fs.knesset.gov.il/globaldocs/MK/748/1_748_3_1661.jpeg
1053,חמי,דורון,749,https://fs.knesset.gov.il/globaldocs/MK/749/1_749_3_1663.jpeg
1054,יגאל,יאסינוב,750,https://fs.knesset.gov.il/globaldocs/MK/750/1_750_3_1665.jpeg
1055,אריה,אלדד,752,https://fs.knesset.gov.il/globaldocs/MK/752/1_752_3_1675.jpeg
1056,יעקב,מרגי,751,https://fs.knesset.gov.il/globaldocs/MK/751/1_751_3_1669.jpeg
1057,ישראל,אייכלר,754,https://fs.knesset.gov.il/globaldocs/MK/754/1_754_3_1681.jpeg
1059,גילה,פינקלשטיין,753,https://fs.knesset.gov.il/globaldocs/MK/753/1_753_3_1677.jpeg
1061,ג'מאל,זחאלקה,756,https://fs.knesset.gov.il/globaldocs/MK/756/1_756_3_1690.jpeg
1062,ואסל,טאהא,757,https://fs.knesset.gov.il/globaldocs/MK/757/1_757_3_1695.jpeg
1063,אילנה,כהן,755,https://fs.knesset.gov.il/globaldocs/MK/755/1_755_3_1686.jpeg
1064,אהוד,אולמרט,3,https://fs.knesset.gov.il/globaldocs/MK/3/1_3_3_11.jpeg
1065,חיים,אורון,5,https://fs.knesset.gov.il/globaldocs/MK/5/1_5_3_15.jpeg
1067,מתן,וילנאי,204,https://fs.knesset.gov.il/globaldocs/MK/204/1_204_3_508.jpeg
1068,ניסן,סלומינסקי,92,https://fs.knesset.gov.il/globaldocs/MK/92/1_92_3_258.jpeg
2014,גאלב,מג'אדלה,758,https://fs.knesset.gov.il/globaldocs/MK/758/1_758_3_1698.jpeg
2114,משה,שרת,672,https://fs.knesset.gov.il/globaldocs/MK/672/1_672_3_1470.jpeg
2116,אחמד,א'-דאהר,129,https://fs.knesset.gov.il/globaldocs/MK/129/1_129_3_350.jpeg
2117,חמאד,אבו-רביעה,180,https://fs.knesset.gov.il/globaldocs/MK/180/1_180_3_450.jpeg
2118,לביב,אבו-רוכן,233,https://fs.knesset.gov.il/globaldocs/MK/233/1_233_3_600.jpeg
2119,אהרן,אבוחצירא,178,https://fs.knesset.gov.il/globaldocs/MK/178/1_178_3_446.jpeg
2120,אליעזר,אבטבי,234,https://fs.knesset.gov.il/globaldocs/MK/234/1_234_3_602.jpeg
2121,מאיר,אביזוהר,235,https://fs.knesset.gov.il/globaldocs/MK/235/1_235_3_604.jpeg
